 DWS  (NON TE Data )Revenues,Service,Operator,Date,FY Budget,YTD Budget,YTD Actual,Year,Month,Day
Total  DWS Revenues ,,,2015/Jan/1,178970105,178970105,196878628,2015,Jan,1
 Infrastructure Revenues,,,2015/Jan/1,110244541,110244541,129681086,2015,Jan,1
 Transmission Revenues,,,2015/Jan/1,82350331,82350331,100661504,2015,Jan,1
MNO's Transmission,,,2015/Jan/1,59795261,59795261,78410817,2015,Jan,1
Orange,MNO's Transmission,Orange,2015/Jan/1,28370945,28370945,31031516,2015,Jan,1
Vodafone,MNO's Transmission,Vodafone,2015/Jan/1,21620932,21620932,35070067,2015,Jan,1
Etisalat,MNO's Transmission,Etisalat,2015/Jan/1,9803383,9803383,12309235,2015,Jan,1
TX IRU ,,,2015/Jan/1,0,0,0,2015,Jan,1
Orange,TX IRU ,Orange,2015/Jan/1,0,0,0,2015,Jan,1
Vodafone,TX IRU ,Vodafone,2015/Jan/1,0,0,0,2015,Jan,1
Etisalat,TX IRU ,Etisalat,2015/Jan/1,0,0,0,2015,Jan,1
ISP's Transmission ,,,2015/Jan/1,22555071,22555071,22250686,2015,Jan,1
Orange Data,ISP's Transmission ,Orange,2015/Jan/1,12392223,12392223,12224988,2015,Jan,1
Vodafone Data,ISP's Transmission ,Vodafone,2015/Jan/1,5675929,5675929,5599332,2015,Jan,1
NOL,ISP's Transmission ,Etisalat,2015/Jan/1,1575641,1575641,1554378,2015,Jan,1
EGY Net,ISP's Transmission ,Etisalat,2015/Jan/1,1865158,1865158,1839988,2015,Jan,1
Noor,ISP's Transmission ,Others,2015/Jan/1,1023222,1023222,1009414,2015,Jan,1
Yalla Misr,ISP's Transmission ,Others,2015/Jan/1,22896,22896,22587,2015,Jan,1
VSAT,ISP's Transmission ,Others,2015/Jan/1,0,0,0,2015,Jan,1
 Colocation  Revenues,,,2015/Jan/1,18215053,18215053,20106966,2015,Jan,1
MNO's Colocation,,,2015/Jan/1,15210008,15210008,17214205,2015,Jan,1
Orange,MNO's Colocation,Orange,2015/Jan/1,5047787,5047787,5128233,2015,Jan,1
Vodafone,MNO's Colocation,Vodafone,2015/Jan/1,5177780,5177780,6171091,2015,Jan,1
Etisalat,MNO's Colocation,Etisalat,2015/Jan/1,4984441,4984441,5914881,2015,Jan,1
ISP's Colocation,,,2015/Jan/1,3005045,3005045,2892761,2015,Jan,1
Orange Data,ISP's Colocation,Orange,2015/Jan/1,1291773,1291773,1243505,2015,Jan,1
Vodafone Data,ISP's Colocation,Vodafone,2015/Jan/1,891822,891822,858499,2015,Jan,1
NOL,ISP's Colocation,Etisalat,2015/Jan/1,390971,390971,376363,2015,Jan,1
EGY Net,ISP's Colocation,Etisalat,2015/Jan/1,231451,231451,222803,2015,Jan,1
Noor,ISP's Colocation,Others,2015/Jan/1,171667,171667,165252,2015,Jan,1
Yalla Misr,ISP's Colocation,Others,2015/Jan/1,27361,27361,26339,2015,Jan,1
International Services,,,2015/Jan/1,9679157,9679157,8912617,2015,Jan,1
IPT,,,2015/Jan/1,4789490,4789490,4650059,2015,Jan,1
Orange Data,IPT,Orange,2015/Jan/1,2777904,2777904,2697034,2015,Jan,1
Vodafone Data,IPT,Vodafone,2015/Jan/1,1676322,1676322,1627521,2015,Jan,1
NOL,IPT,Etisalat,2015/Jan/1,0,0,0,2015,Jan,1
EGY Net,IPT,Etisalat,2015/Jan/1,0,0,0,2015,Jan,1
Noor,IPT,Others,2015/Jan/1,335264,335264,325504,2015,Jan,1
Yalla Misr,IPT,Others,2015/Jan/1,0,0,0,2015,Jan,1
IPLCs ,,,2015/Jan/1,4889667,4889667,4262557,2015,Jan,1
Orange Data,IPLCs ,Orange,2015/Jan/1,1173520,1173520,1023014,2015,Jan,1
Vodafone Data,IPLCs ,Vodafone,2015/Jan/1,2884903,2884903,2514909,2015,Jan,1
NOL,IPLCs ,Etisalat,2015/Jan/1,488967,488967,426256,2015,Jan,1
Etisalat,IPLCs ,Etisalat,2015/Jan/1,0,0,0,2015,Jan,1
Mena,IPLCs ,Others,2015/Jan/1,342277,342277,298379,2015,Jan,1
Others,IPLCs ,Others,2015/Jan/1,0,0,0,2015,Jan,1
 Access Service,,,2015/Jan/1,8458424,8458424,7989162,2015,Jan,1
Local Loop ,,,2015/Jan/1,2539258,2539258,2574197,2015,Jan,1
Orange Data,Local Loop ,Orange,2015/Jan/1,548883,548883,556436,2015,Jan,1
Vodafone Data,Local Loop ,Vodafone,2015/Jan/1,947341,947341,960375,2015,Jan,1
NOL,Local Loop ,Etisalat,2015/Jan/1,353516,353516,358380,2015,Jan,1
EGY Net,Local Loop ,Etisalat,2015/Jan/1,352092,352092,356937,2015,Jan,1
Noor,Local Loop ,Others,2015/Jan/1,329768,329768,334306,2015,Jan,1
Yalla Misr,Local Loop ,Others,2015/Jan/1,7658,7658,7763,2015,Jan,1
ADSL ,,,2015/Jan/1,5919165,5919165,5414965,2015,Jan,1
Orange Data,ADSL ,Orange,2015/Jan/1,3316539,3316539,2944265,2015,Jan,1
Vodafone Data,ADSL ,Vodafone,2015/Jan/1,1368014,1368014,1351915,2015,Jan,1
NOL,ADSL ,Etisalat,2015/Jan/1,17026,17026,18335,2015,Jan,1
EGY Net,ADSL ,Etisalat,2015/Jan/1,1048916,1048916,981600,2015,Jan,1
Noor,ADSL ,Others,2015/Jan/1,138539,138539,77955,2015,Jan,1
Yalla Misr,ADSL ,Others,2015/Jan/1,30130,30130,40895,2015,Jan,1
Bit stream ,,,2015/Jan/1,0,0,0,2015,Jan,1
Orange Data,Bit stream ,Orange,2015/Jan/1,0,0,0,2015,Jan,1
Vodafone Data,Bit stream ,Vodafone,2015/Jan/1,0,0,0,2015,Jan,1
NOL,Bit stream ,Etisalat,2015/Jan/1,0,0,0,2015,Jan,1
EGY Net,Bit stream ,Etisalat,2015/Jan/1,0,0,0,2015,Jan,1
Noor,Bit stream ,Others,2015/Jan/1,0,0,0,2015,Jan,1
Yalla Misr,Bit stream ,Others,2015/Jan/1,0,0,0,2015,Jan,1
FTTs,,,2015/Jan/1,0,0,0,2015,Jan,1
Orange,FTTs,Orange,2015/Jan/1,0,0,0,2015,Jan,1
Vodafone,FTTs,Vodafone,2015/Jan/1,0,0,0,2015,Jan,1
Etisalat,FTTs,Etisalat,2015/Jan/1,0,0,0,2015,Jan,1
Fiber Access,,,2015/Jan/1,0,0,0,2015,Jan,1
Orange Data,Fiber Access,Orange,2015/Jan/1,0,0,0,2015,Jan,1
Vodafone Data,Fiber Access,Vodafone,2015/Jan/1,0,0,0,2015,Jan,1
NOL,Fiber Access,Etisalat,2015/Jan/1,0,0,0,2015,Jan,1
EGY Net,Fiber Access,Etisalat,2015/Jan/1,0,0,0,2015,Jan,1
Noor,Fiber Access,Others,2015/Jan/1,0,0,0,2015,Jan,1
INT'L OG Voice services,,,2015/Jan/1,0,0,59208380,2015,Jan,1
INT'L OG ,,,2015/Jan/1,60267140,60267140,59208380,2015,Jan,1
Orange,INT'L OG ,Orange,2015/Jan/1,22783706,22783706,20474900,2015,Jan,1
Vodafone,INT'L OG ,Vodafone,2015/Jan/1,37475126,37475126,38730373,2015,Jan,1
Etisalat,INT'L OG ,Etisalat,2015/Jan/1,8309,8309,3107,2015,Jan,1
FVNO ,,,2015/Jan/1,0,0,0,2015,Jan,1
Orange,FVNO ,Orange,2015/Jan/1,0,0,0,2015,Jan,1
Vodafone,FVNO ,Vodafone,2015/Jan/1,0,0,0,2015,Jan,1
Etisalat,FVNO ,Etisalat,2015/Jan/1,0,0,0,2015,Jan,1
ITFS,,,2015/Jan/1,0,0,0,2015,Jan,1
Orange,ITFS,Orange,2015/Jan/1,0,0,0,2015,Jan,1
Vodafone,ITFS,Vodafone,2015/Jan/1,0,0,0,2015,Jan,1
Etisalat,ITFS,Etisalat,2015/Jan/1,0,0,0,2015,Jan,1
Total  DWS Revenues ,,,2015/Feb/1,240670816,240670816,191232619,2015,Feb,1
 Infrastructure Revenues,,,2015/Feb/1,171799135,171799135,131099775,2015,Feb,1
 Transmission Revenues,,,2015/Feb/1,143462784,143462784,102149934,2015,Feb,1
MNO's Transmission,,,2015/Feb/1,60739497,60739497,80484523,2015,Feb,1
Orange,MNO's Transmission,Orange,2015/Feb/1,28581755,28581755,32061391,2015,Feb,1
Vodafone,MNO's Transmission,Vodafone,2015/Feb/1,21349191,21349191,35892917,2015,Feb,1
Etisalat,MNO's Transmission,Etisalat,2015/Feb/1,10808551,10808551,12530215,2015,Feb,1
TX IRU ,,,2015/Feb/1,59875000,59875000,0,2015,Feb,1
Orange,TX IRU ,Orange,2015/Feb/1,0,0,0,2015,Feb,1
Vodafone,TX IRU ,Vodafone,2015/Feb/1,59875000,59875000,0,2015,Feb,1
Etisalat,TX IRU ,Etisalat,2015/Feb/1,0,0,0,2015,Feb,1
ISP's Transmission ,,,2015/Feb/1,22848287,22848287,21665411,2015,Feb,1
Orange Data,ISP's Transmission ,Orange,2015/Feb/1,12553322,12553322,11903425,2015,Feb,1
Vodafone Data,ISP's Transmission ,Vodafone,2015/Feb/1,5749716,5749716,5452048,2015,Feb,1
NOL,ISP's Transmission ,Etisalat,2015/Feb/1,1596124,1596124,1513492,2015,Feb,1
EGY Net,ISP's Transmission ,Etisalat,2015/Feb/1,1889405,1889405,1791589,2015,Feb,1
Noor,ISP's Transmission ,Others,2015/Feb/1,1036524,1036524,982863,2015,Feb,1
Yalla Misr,ISP's Transmission ,Others,2015/Feb/1,23194,23194,21993,2015,Feb,1
VSAT,ISP's Transmission ,Others,2015/Feb/1,0,0,0,2015,Feb,1
 Colocation  Revenues,,,2015/Feb/1,18260390,18260390,20480033,2015,Feb,1
MNO's Colocation,,,2015/Feb/1,15231305,15231305,17585916,2015,Feb,1
Orange,MNO's Colocation,Orange,2015/Feb/1,5051500,5051500,5512002,2015,Feb,1
Vodafone,MNO's Colocation,Vodafone,2015/Feb/1,5182452,5182452,6599484,2015,Feb,1
Etisalat,MNO's Colocation,Etisalat,2015/Feb/1,4997354,4997354,5474431,2015,Feb,1
ISP's Colocation,,,2015/Feb/1,3029085,3029085,2894117,2015,Feb,1
Orange Data,ISP's Colocation,Orange,2015/Feb/1,1302107,1302107,1244088,2015,Feb,1
Vodafone Data,ISP's Colocation,Vodafone,2015/Feb/1,898956,898956,858901,2015,Feb,1
NOL,ISP's Colocation,Etisalat,2015/Feb/1,394099,394099,376539,2015,Feb,1
EGY Net,ISP's Colocation,Etisalat,2015/Feb/1,233303,233303,222907,2015,Feb,1
Noor,ISP's Colocation,Others,2015/Feb/1,173040,173040,165330,2015,Feb,1
Yalla Misr,ISP's Colocation,Others,2015/Feb/1,27580,27580,26351,2015,Feb,1
International Services,,,2015/Feb/1,10075961,10075961,8469808,2015,Feb,1
IPT,,,2015/Feb/1,4789490,4789490,3876364,2015,Feb,1
Orange Data,IPT,Orange,2015/Feb/1,2777904,2777904,2248291,2015,Feb,1
Vodafone Data,IPT,Vodafone,2015/Feb/1,1676322,1676322,1356728,2015,Feb,1
NOL,IPT,Etisalat,2015/Feb/1,0,0,0,2015,Feb,1
EGY Net,IPT,Etisalat,2015/Feb/1,0,0,0,2015,Feb,1
Noor,IPT,Others,2015/Feb/1,335264,335264,271346,2015,Feb,1
Yalla Misr,IPT,Others,2015/Feb/1,0,0,0,2015,Feb,1
IPLCs ,,,2015/Feb/1,5286471,5286471,4593444,2015,Feb,1
Orange Data,IPLCs ,Orange,2015/Feb/1,1268753,1268753,1102427,2015,Feb,1
Vodafone Data,IPLCs ,Vodafone,2015/Feb/1,3119018,3119018,2710132,2015,Feb,1
NOL,IPLCs ,Etisalat,2015/Feb/1,528647,528647,459344,2015,Feb,1
Etisalat,IPLCs ,Etisalat,2015/Feb/1,0,0,0,2015,Feb,1
Mena,IPLCs ,Others,2015/Feb/1,370053,370053,321541,2015,Feb,1
Others,IPLCs ,Others,2015/Feb/1,0,0,0,2015,Feb,1
 Access Service,,,2015/Feb/1,8559907,8559907,7986334,2015,Feb,1
Local Loop ,,,2015/Feb/1,2551955,2551955,2558329,2015,Feb,1
Orange Data,Local Loop ,Orange,2015/Feb/1,551628,551628,553006,2015,Feb,1
Vodafone Data,Local Loop ,Vodafone,2015/Feb/1,952077,952077,954455,2015,Feb,1
NOL,Local Loop ,Etisalat,2015/Feb/1,355283,355283,356171,2015,Feb,1
EGY Net,Local Loop ,Etisalat,2015/Feb/1,353853,353853,354737,2015,Feb,1
Noor,Local Loop ,Others,2015/Feb/1,331417,331417,332245,2015,Feb,1
Yalla Misr,Local Loop ,Others,2015/Feb/1,7696,7696,7715,2015,Feb,1
